17
977 1600
208 520 379
955 751 295
775 11 171
572 283 373
545 34 953
802 914 379
843 191 178
688 404 772
103 245 481
805 390 722
955 818 190
454 683 775
889 436 371
927 419 549
61 206 739
682 109 907
368 376 521
813 55 95
623 546 713
410 78 161
751 749 139
646 869 574
719 589 656
543 861 251
221 964 387
578 577 851
836 737 147
825 970 786
272 185 21
906 651 528
491 112 523
598 454 706
733 223 687
754 457 933
721 799 887
702 520 254
205 149 517
375 361 178
425 78 872
229 720 266
88 118 180
728 273 230
415 907 537
460 575 464
79 124 463
635 493 560
951 84 146
833 49 801
573 738 931
306 314 375
482 283 19
755 112 317
824 713 511
364 720 366
331 601 393
347 821 347
499 359 160
786 813 558
28 60 119
315 415 407
136 451 941
30 388 35
569 671 870
586 268 384
31 939 397
702 556 578
116 166 629
970 30 334
751 887 675
739 664 647
656 404 189
730 145 63
240 494 582
627 348 794
384 175 728
307 634 86
816 132 812
335 532 639
599 153 17
542 836 886
800 738 674
208 202 437
782 157 940
842 698 622
874 258 600
779 628 879
225 766 581
334 87 994
197 130 70
890 889 752
813 828 519
472 359 39
323 938 622
427 661 402
450 632 50
581 8 239
930 327 830
754 87 172
421 237 139
660 812 738
489 341 406
238 756 129
792 489 945
815 88 777
508 832 465
814 243 765
761 356 674
567 587 556
76 785 102
826 762 67
817 544 885
915 457 531
144 359 373
76 292 809
319 593 914
295 886 85
119 574 311
345 119 352
358 679 4
88 812 248
51 672 451
876 409 332
174 479 743
334 610 502
54 664 162
694 181 52
113 916 751
504 27 250
674 585 988
499 647 563
335 727 219
450 626 826
619 339 881
469 343 647
164 888 710
611 381 939
18 636 559
541 667 111
852 134 167
98 193 200
616 108 444
241 120 78
518 752 394
202 762 829
624 816 149
23 816 914
153 64 388
661 186 780
237 659 135
18 534 309
663 186 97
76 129 438
767 704 283
221 955 206
491 716 768
786 724 601
629 48 839
778 591 835
964 410 153
653 755 108
593 411 616
811 163 536
940 154 440
120 943 794
823 665 696
171 103 685
42 788 454
350 485 132
345 509 573
291 352 542
619 920 773
482 171 509
221 118 281
900 786 19
144 347 821
596 326 804
779 130 130
134 490 978
473 257 354
813 423 870
594 884 626
757 402 934
718 806 717
164 388 659
73 82 476
782 643 673
832 20 774
430 700 777
544 879 971
751 203 495
460 134 990
412 65 57
564 695 222
748 49 851
616 393 380
107 846 686
590 95 905
659 470 800
189 155 215
688 31 537
596 537 128
621 272 499
316 210 310
84 756 511
431 471 534
298 400 6
747 967 39
46 744 183
751 461 469
263 19 877
31 53 520
877 824 371
682 499 716
99 247 343
508 197 642
754 519 409
868 920 772
473 455 101
28 593 190
793 262 734
927 314 814
901 706 72
956 233 252
141 364 592
703 523 520
309 955 984
467 567 44
752 817 461
92 15 433
466 566 328
293 861 436
349 156 441
256 716 228
358 941 662
509 533 909
957 536 253
3 415 842
83 374 707
667 946 889
59 246 292
477 374 743
369 570 873
276 492 674
140 98 87
542 389 463
203 773 668
405 319 449
743 907 608
40 33 185
522 977 776
222 731 731
693 541 173
242 724 480
505 545 739
366 327 1000
540 806 287
736 64 892
130 341 563
189 272 450
122 275 484
228 116 983
432 408 410
658 272 689
235 711 695
166 626 755
481 245 778
209 260 816
819 320 415
818 63 708
583 492 333
99 362 202
730 841 368
542 472 261
321 509 945
561 411 191
164 436 559
195 266 509
394 648 584
779 600 100
58 726 756
82 679 595
350 421 340
551 510 594
315 880 365
140 312 192
317 154 47
99 462 620
397 53 335
506 697 670
504 141 28
131 3 210
205 496 528
802 86 306
135 320 118
24 829 855
513 842 601
533 807 874
112 244 711
765 900 157
602 887 433
604 333 632
588 554 126
569 698 424
4 672 645
835 426 190
41 521 631
10 364 600
443 874 529
433 265 830
127 564 893
172 854 746
493 582 418
935 863 690
65 638 34
310 899 79
59 940 40
950 270 846
660 415 955
9 976 769
422 667 491
568 941 171
881 171 369
585 206 681
548 8 88
752 413 725
479 784 467
373 216 664
99 342 722
409 55 916
553 433 372
696 721 568
396 92 402
416 180 571
58 878 272
907 489 385
604 429 490
372 168 563
906 522 345
794 926 14
778 24 595
845 526 293
440 374 335
72 884 771
129 890 140
752 873 72
371 190 750
613 148 65
179 11 324
900 64 481
185 517 212
646 416 355
89 597 227
719 562 854
572 831 673
536 681 560
52 357 139
434 869 804
607 33 548
503 510 622
942 748 917
598 411 557
316 249 128
448 88 799
568 603 157
464 576 800
652 444 884
728 432 287
959 194 713
695 964 136
91 274 155
483 974 876
820 792 112
395 686 743
470 661 691
710 93 648
559 257 225
287 837 957
414 726 859
412 289 459
702 664 599
553 812 522
4 380 828
188 804 974
29 559 917
244 556 998
687 522 361
895 359 561
709 293 884
785 159 895
7 521 103
761 603 725
612 774 596
543 108 772
433 878 91
184 646 835
846 675 541
152 471 207
216 654 961
746 976 183
760 930 936
262 718 989
80 353 510
226 123 346
446 478 142
210 80 875
454 658 83
69 355 568
578 8 98
671 6 300
856 673 625
340 709 909
124 844 731
494 869 349
725 722 381
917 903 162
54 833 212
491 497 836
961 101 895
299 941 672
482 370 848
538 474 747
146 539 49
295 763 648
463 652 218
907 600 535
720 531 342
505 608 674
504 575 173
604 541 256
118 618 312
479 356 157
607 429 366
227 797 187
278 896 991
540 966 192
898 961 665
691 632 153
228 258 504
533 449 95
941 183 591
834 311 605
436 862 320
955 695 397
133 546 609
575 921 305
416 382 675
848 172 342
557 845 794
50 596 80
186 54 959
577 883 710
969 233 783
571 376 436
472 531 283
513 333 627
239 833 532
310 299 514
787 907 129
371 942 508
156 284 356
585 93 257
666 557 219
326 319 297
37 643 975
224 620 287
457 453 517
109 345 482
973 447 627
154 817 981
191 369 903
622 126 123
552 251 656
203 954 707
943 373 932
341 252 317
906 472 348
3 413 544
219 856 738
625 10 140
919 617 9
150 247 97
903 499 370
924 136 533
976 293 420
831 177 532
327 849 142
508 836 596
864 952 128
155 247 256
479 669 599
533 856 160
304 229 649
650 33 786
283 413 214
484 550 152
906 809 337
741 821 480
153 767 970
826 682 911
392 844 565
550 394 717
729 93 945
846 350 868
745 51 346
38 151 844
574 154 656
405 231 747
179 818 473
953 894 638
707 237 705
389 202 789
598 646 174
754 887 841
399 944 948
471 591 376
412 752 380
909 168 933
974 740 257
871 740 56
805 118 956
791 679 707
864 644 553
496 21 885
973 941 399
49 883 658
838 174 83
308 660 815
204 171 486
122 238 925
140 113 573
35 888 389
535 179 1
208 554 944
839 377 417
43 68 290
851 73 548
69 630 397
959 144 64
63 744 634
318 327 298
304 804 961
571 847 813
203 142 297
127 378 943
844 28 413
225 226 427
499 547 154
463 156 906
4 463 283
509 177 341
684 545 782
527 549 972
977 491 662
77 864 639
630 41 947
851 872 759
740 735 938
655 901 697
596 48 878
959 823 298
569 79 242
705 391 309
703 891 696
819 875 580
676 914 894
240 359 823
541 22 907
403 647 469
172 448 717
225 669 457
517 847 271
369 54 483
280 765 581
922 5 440
160 539 715
654 395 967
604 581 593
53 657 921
8 383 888
539 34 462
417 75 54
925 252 834
798 294 460
172 220 777
828 935 49
267 282 194
272 774 274
536 737 14
305 871 680
248 686 615
72 914 807
393 601 258
423 492 688
25 652 985
472 522 167
10 158 385
976 297 33
344 576 727
275 323 748
338 486 588
69 562 366
356 453 968
71 809 117
258 50 912
130 321 258
342 728 939
331 610 683
499 215 170
337 200 352
85 585 685
696 927 763
620 528 947
783 206 254
934 348 814
905 959 789
641 612 234
475 57 491
243 552 488
489 300 938
828 488 346
859 43 532
919 804 132
576 113 949
776 781 120
735 942 904
959 590 568
201 836 919
678 697 630
167 897 304
805 531 316
233 961 412
973 254 402
472 302 324
605 784 606
831 513 896
552 954 264
497 612 49
787 826 227
694 135 473
271 439 322
626 419 849
671 514 274
579 184 915
490 181 177
787 896 176
52 34 668
41 941 653
202 436 770
947 547 144
378 800 549
918 922 851
361 285 981
449 160 119
686 204 719
905 853 539
211 348 952
753 760 57
836 141 312
189 101 510
26 334 34
817 251 821
763 358 449
724 858 347
745 747 362
397 381 561
345 840 461
618 426 312
175 737 348
971 518 549
396 937 158
472 658 265
103 776 937
626 265 130
10 236 565
266 958 975
578 397 418
160 376 544
245 374 973
172 942 667
638 499 309
709 73 138
10 476 175
714 175 218
321 386 30
607 216 55
359 751 247
412 385 359
947 202 160
626 505 286
749 882 183
788 9 613
218 384 950
585 925 427
425 84 458
739 828 54
7 262 972
269 130 725
119 487 391
807 394 389
467 47 811
431 418 571
900 218 537
225 881 788
531 249 620
539 319 725
410 841 633
974 611 42
396 169 434
378 647 25
771 391 453
913 155 439
80 566 198
765 130 233
497 784 217
509 866 102
692 879 139
436 387 576
207 89 920
385 421 706
366 732 151
189 130 945
227 899 83
368 231 804
754 395 865
498 510 92
226 655 895
551 129 205
236 179 953
440 365 877
277 371 501
379 395 316
78 263 398
674 125 217
569 862 637
29 138 359
408 583 594
363 803 475
457 271 444
383 722 371
210 119 484
272 550 236
890 249 659
712 713 61
134 298 243
296 380 811
170 968 56
454 541 556
912 17 647
232 348 300
161 184 328
147 93 714
390 250 530
132 891 957
134 307 272
424 374 664
304 376 779
88 261 355
633 629 224
635 162 561
453 46 971
549 763 300
667 201 234
52 968 72
825 938 914
745 130 678
735 498 893
680 851 528
574 702 939
792 868 237
91 462 99
70 306 923
857 462 838
823 582 715
708 838 826
297 192 464
311 795 363
958 793 703
423 356 661
113 228 350
21 375 658
261 651 399
349 689 255
29 63 22
784 109 842
112 32 404
132 422 473
338 96 235
885 450 590
209 386 32
93 214 858
797 851 386
756 363 635
154 55 641
330 382 206
191 672 387
135 76 469
116 702 243
256 311 415
345 836 414
875 712 534
762 553 30
226 268 649
723 393 888
814 744 900
623 553 688
17 138 935
491 462 563
141 749 315
948 569 603
196 16 957
357 4 230
349 384 383
966 778 711
174 699 462
381 442 189
799 428 920
334 851 862
274 674 990
366 843 20
824 610 210
219 327 326
968 628 598
353 849 698
680 535 407
897 195 593
572 171 591
531 50 80
889 586 253
374 741 632
714 216 393
375 298 277
571 197 225
709 224 578
538 652 266
101 445 371
920 600 934
35 469 359
143 700 483
499 379 138
42 29 587
145 378 263
77 116 84
95 412 516
166 660 917
807 530 784
878 807 983
314 657 444
271 32 41
906 604 680
106 716 91
344 655 862
22 96 924
503 173 19
603 692 514
271 47 65
518 125 25
421 485 92
419 414 885
577 807 569
856 676 805
167 682 834
177 896 633
87 887 729
273 718 283
503 602 70
479 495 373
935 813 766
209 300 841
831 7 828
101 183 139
143 326 256
337 788 586
641 430 790
131 655 379
588 79 79
383 761 384
258 786 640
715 467 963
221 813 185
321 657 223
689 872 838
876 295 10
485 314 146
821 807 389
111 459 91
810 819 133
312 824 796
289 432 10
272 783 483
259 305 19
898 852 744
749 809 874
443 325 111
31 310 441
869 327 800
567 462 991
966 480 722
728 556 32
934 880 574
7 842 42
412 745 325
950 30 222
490 552 541
922 110 603
282 434 875
364 850 560
62 527 290
758 265 278
441 2 794
690 896 957
900 615 833
133 39 100
1 57 228
343 865 683
926 341 333
751 320 635
124 576 349
736 788 231
885 106 664
678 178 574
433 833 295
580 931 958
272 727 340
126 93 317
137 730 336
766 794 382
603 646 820
107 586 845
744 899 4
679 317 263
379 426 324
43 594 706
282 327 430
797 151 630
454 779 589
48 491 232
766 369 919
354 624 638
17 816 80
973 754 36
237 519 773
704 459 277
199 155 337
246 731 73
190 640 961
137 908 895
410 368 426
709 143 293
701 544 452
15 367 72
331 883 545
777 1 21
238 962 717
621 946 802
804 319 510
452 663 850
267 914 31
417 204 714
860 960 698
70 143 290
174 650 232
68 376 149
114 696 865
212 956 965
786 280 345
595 263 175
320 457 602
977 937 124
245 224 66
792 741 503
592 934 220
46 195 611
726 653 77
269 220 626
859 544 349
716 192 147
235 925 711
854 954 754
841 163 86
2 193 475
963 228 119
906 377 500
442 564 927
377 604 993
966 582 437
285 643 854
341 419 762
795 159 943
485 345 860
666 593 736
917 49 135
508 550 966
809 338 569
611 892 338
421 551 826
700 790 483
204 834 898
246 326 870
651 904 308
149 571 722
103 591 415
882 246 33
565 389 981
145 876 969
656 12 279
65 169 915
113 552 37
31 625 877
490 968 681
113 403 506
554 393 978
302 935 362
363 195 765
554 401 500
603 378 1
485 452 362
175 581 676
132 857 277
841 797 394
468 55 259
240 40 678
407 759 65
685 712 496
121 129 469
546 692 286
594 167 38
107 698 650
733 136 130
131 613 918
457 473 379
678 851 663
317 350 958
251 209 487
59 69 529
885 315 531
710 851 823
679 527 39
18 644 605
325 18 408
307 636 431
137 31 214
738 424 561
255 971 278
607 441 107
882 915 122
492 209 899
698 973 940
555 49 186
279 314 488
595 859 556
263 198 914
900 723 505
810 285 636
184 641 498
723 869 354
283 960 43
368 286 856
785 761 38
977 327 46
790 936 987
903 827 372
301 253 271
161 294 835
25 896 658
56 477 187
688 60 285
845 547 410
622 696 84
363 181 386
797 513 624
572 421 605
525 788 181
608 229 450
187 180 261
120 480 655
268 671 151
482 720 496
355 684 462
955 256 397
112 816 813
264 517 937
259 24 644
797 943 197
177 397 803
63 439 807
231 333 264
351 328 952
327 663 581
316 447 858
166 13 822
922 606 244
922 857 154
947 713 220
919 566 808
123 528 971
954 420 238
857 181 249
664 246 246
154 887 724
671 899 956
945 206 116
556 108 718
851 875 273
660 423 306
708 578 73
476 274 635
835 678 651
142 690 379
65 673 813
601 826 362
655 37 602
237 37 778
383 78 241
886 723 218
895 140 513
162 947 265
52 826 286
791 12 785
913 25 905
179 960 415
156 306 144
909 627 153
428 362 892
612 55 797
44 211 854
190 282 36
203 631 700
719 171 645
672 479 511
580 226 597
625 961 453
174 370 832
471 117 974
70 719 730
422 527 249
698 764 645
436 746 266
112 84 657
337 718 961
407 856 899
530 7 190
335 728 193
613 255 627
684 178 454
114 690 658
251 526 243
8 944 812
599 729 185
658 118 607
702 801 486
455 461 730
377 736 509
30 786 644
324 17 708
135 211 688
599 694 682
92 558 179
546 463 485
574 872 801
367 607 607
634 581 287
560 516 495
160 683 297
357 747 589
932 540 462
523 486 809
591 684 443
895 121 781
66 568 599
801 786 203
334 590 598
717 640 10
116 162 176
516 770 664
242 405 132
759 335 381
950 553 803
413 439 47
881 477 401
148 289 519
130 621 957
503 15 968
818 414 177
549 264 824
842 287 202
210 312 176
808 150 218
72 401 964
924 794 60
498 770 537
368 622 747
309 745 961
23 450 237
417 721 975
852 487 591
948 657 336
7 524 277
512 295 289
969 941 863
794 201 279
607 656 158
219 921 386
250 217 173
117 539 362
883 389 821
695 284 212
815 498 758
280 332 100
895 60 252
761 832 776
925 799 168
747 279 25
916 339 822
510 699 980
280 974 441
905 405 142
379 312 453
291 920 18
923 279 85
156 269 261
337 581 278
751 11 330
244 658 637
459 641 232
612 813 928
353 739 51
674 509 69
346 456 242
459 181 230
965 35 989
212 907 82
311 421 378
926 320 517
22 97 147
973 542 359
454 546 233
427 132 624
297 273 66
723 270 714
603 419 667
717 409 160
537 248 740
799 325 917
329 828 127
804 435 793
615 376 349
499 520 26
184 141 492
945 489 301
369 923 254
596 679 407
591 277 6
752 475 323
479 175 381
487 544 13
895 849 587
561 821 621
463 215 671
779 560 341
448 921 682
316 347 489
916 644 114
879 330 270
545 178 185
781 629 49
239 268 668
891 257 37
787 44 378
620 286 4
516 234 215
21 130 668
245 179 472
29 32 994
246 224 586
279 260 931
80 124 945
647 387 883
907 293 510
349 237 381
410 283 47
655 55 482
677 882 367
464 587 538
911 483 30
666 968 539
522 648 537
194 558 67
469 820 865
972 220 789
699 692 332
275 802 965
397 675 289
876 809 806
430 609 44
177 409 569
69 255 353
848 367 982
396 782 32
861 697 829
65 650 900
666 250 672
251 677 217
370 44 706
557 376 572
864 561 807
883 517 184
825 1842
236 606 307
362 561 948
410 655 468
324 321 670
508 355 8
225 343 426
38 156 410
749 474 658
762 429 625
421 777 308
533 560 961
814 38 38
123 707 739
108 215 439
452 145 570
63 448 280
819 705 87
652 685 422
456 274 659
25 107 112
397 431 330
64 278 759
600 637 604
529 360 313
506 239 906
350 355 960
663 48 969
137 296 854
275 395 819
352 530 223
560 182 665
96 779 649
296 754 923
373 568 544
465 104 781
131 549 439
680 445 614
303 484 838
210 638 337
526 84 227
284 108 295
461 137 986
685 356 124
475 775 281
31 74 757
318 348 819
456 529 607
198 345 687
374 747 393
108 172 375
82 402 103
388 114 134
319 405 662
598 130 9
160 475 836
444 269 486
772 710 197
114 289 562
309 71 23
590 707 301
411 249 596
424 64 47
672 294 346
545 86 253
673 521 313
644 94 980
767 400 678
286 648 180
718 745 765
779 71 183
524 135 489
160 820 902
64 715 539
750 346 71
699 413 428
770 251 985
59 366 68
641 762 869
134 734 555
240 68 178
630 105 414
529 87 65
58 213 957
707 694 153
351 267 331
552 176 612
308 616 345
196 110 69
432 149 358
779 379 536
282 414 967
342 287 860
63 300 583
535 274 790
373 131 919
519 228 346
486 660 7
743 24 396
803 298 37
21 771 280
745 51 328
179 401 892
710 799 167
341 316 145
54 98 510
56 182 261
694 92 994
114 346 697
692 357 950
597 703 498
578 775 936
229 407 204
393 505 495
376 682 221
330 694 353
119 575 36
64 752 710
460 464 3
570 627 633
146 554 348
210 450 84
814 148 239
696 582 776
495 140 240
779 757 214
796 579 378
405 617 530
79 127 175
221 591 269
346 421 817
196 78 676
468 578 70
678 690 611
220 199 632
761 274 144
145 111 726
96 416 923
60 569 169
64 784 387
425 311 161
480 774 540
626 83 520
542 77 396
638 613 417
488 139 156
484 812 995
611 438 639
499 408 255
14 376 263
96 132 94
469 390 931
36 674 938
698 744 854
178 202 605
799 249 915
102 645 743
373 771 819
396 759 484
784 753 135
294 453 775
118 750 115
701 609 586
374 719 346
767 583 93
105 648 340
735 600 420
610 281 672
785 719 346
396 22 372
46 289 430
691 640 475
460 495 823
137 82 975
210 508 781
778 713 4
146 378 178
335 361 965
11 133 423
712 567 704
463 755 33
32 281 517
527 71 194
460 126 158
163 373 824
176 394 486
635 249 70
229 400 557
358 279 672
572 227 13
673 322 887
506 169 821
770 79 233
674 377 106
67 736 451
164 12 463
656 734 775
167 643 68
748 703 306
393 121 56
225 30 687
570 7 61
472 601 445
384 544 923
766 242 460
574 282 125
254 306 64
677 125 9
20 349 367
278 723 253
177 246 112
326 765 716
156 723 639
773 642 475
36 760 493
322 299 986
36 372 426
542 430 504
453 448 562
290 761 927
697 646 531
342 812 971
433 129 850
259 327 588
292 716 603
117 172 937
347 497 1
321 142 457
258 76 65
334 479 236
42 587 226
270 296 488
507 67 641
415 450 169
666 727 328
256 412 599
91 473 637
262 708 751
356 651 53
686 139 746
225 579 623
65 544 565
824 680 789
139 543 293
29 160 722
70 813 505
315 91 229
374 171 249
440 75 379
657 508 174
471 35 639
640 751 614
213 712 854
47 722 921
346 690 984
260 213 889
641 713 913
344 658 447
450 292 31
314 300 749
97 98 1000
458 122 684
636 429 384
70 602 150
428 695 151
212 756 584
90 753 309
464 107 164
340 355 331
529 750 867
92 645 390
222 126 782
794 110 414
448 87 6
626 250 101
151 211 928
184 124 502
511 389 684
138 330 586
299 264 486
66 8 413
540 34 86
72 280 994
755 153 144
333 598 61
180 460 113
405 198 768
495 206 256
187 483 904
671 478 653
179 229 815
319 273 694
230 237 86
703 21 72
550 199 339
62 226 827
121 782 918
811 471 937
782 359 984
507 157 796
305 665 618
620 89 221
785 784 141
571 576 715
741 50 926
350 465 473
634 647 198
797 674 213
675 571 831
680 302 459
761 461 237
149 34 955
646 147 582
801 124 531
30 682 765
804 566 807
165 534 720
102 805 654
440 25 910
337 751 574
655 318 852
113 718 465
427 482 745
524 680 587
747 93 517
484 666 57
35 135 356
545 449 993
356 810 335
225 582 937
362 169 898
624 499 18
459 148 127
468 67 530
541 761 694
563 664 784
760 163 912
146 24 293
129 428 990
75 208 316
4 792 425
21 187 42
811 316 812
56 388 483
394 440 250
422 685 874
481 348 710
101 449 766
201 43 999
745 499 293
114 65 712
39 543 492
532 360 825
804 468 667
313 804 341
369 742 157
133 373 842
312 461 662
310 291 655
232 419 126
18 300 540
107 685 580
614 304 840
564 627 980
692 690 908
284 722 316
733 487 150
578 249 182
146 576 344
758 443 537
466 785 672
30 490 970
188 486 857
492 689 953
325 220 560
53 477 849
744 741 610
355 818 591
732 444 589
413 172 451
101 806 804
557 210 622
353 3 505
249 324 901
695 650 368
732 613 735
120 143 431
720 73 260
105 542 117
386 224 1
228 740 470
809 377 86
273 220 450
624 735 93
591 164 109
83 588 142
174 250 750
589 378 186
310 799 363
743 58 944
150 727 871
581 749 709
115 165 234
355 780 189
7 347 195
365 749 645
241 808 271
481 416 798
77 274 542
107 713 15
795 4 539
658 96 787
351 437 841
55 822 526
427 755 281
155 226 237
642 431 4
540 289 595
134 161 77
125 647 681
783 404 412
694 458 451
802 423 49
471 295 142
541 397 794
184 295 47
746 351 863
448 589 311
601 401 272
92 365 102
296 720 902
728 119 614
520 671 578
74 512 260
666 555 449
724 19 630
177 306 550
242 577 539
22 567 320
211 760 439
499 665 471
686 89 3
327 497 404
606 691 573
337 286 622
812 680 532
577 149 412
371 357 530
349 485 630
645 793 91
429 646 337
311 475 489
387 84 983
665 459 934
112 697 668
25 804 955
4 20 404
88 754 467
816 303 943
814 395 310
364 389 13
244 57 582
681 359 158
202 208 118
59 13 681
87 289 806
24 233 330
363 562 755
182 382 962
805 809 309
677 224 800
279 670 543
514 505 429
486 395 994
170 302 544
527 120 403
393 824 300
450 87 652
60 120 131
472 504 112
817 498 779
4 793 911
480 766 853
214 286 672
632 331 256
133 414 903
139 560 757
223 819 284
240 574 162
130 603 161
244 819 640
425 187 334
353 696 655
610 416 486
101 640 291
54 150 586
793 152 788
210 323 622
9 409 227
34 792 589
171 118 706
166 549 480
650 643 700
487 679 682
166 96 109
242 224 360
616 465 570
342 140 297
743 587 438
751 188 707
422 10 285
426 184 839
1 347 983
505 302 547
237 572 580
809 594 468
725 576 159
234 287 470
60 540 3
283 672 447
426 694 807
35 162 349
513 812 416
178 140 698
647 451 420
25 429 307
277 72 956
650 285 483
226 290 28
670 187 681
176 281 445
593 388 697
521 282 575
53 530 290
506 730 422
488 502 860
120 26 73
203 610 292
380 167 127
210 754 445
745 389 657
278 577 708
417 304 572
699 823 127
706 414 863
695 327 526
811 606 531
45 188 907
80 641 71
201 355 97
693 4 967
799 523 988
405 644 284
760 39 20
409 42 744
652 46 966
185 144 312
738 658 666
460 145 76
14 139 779
560 371 688
799 100 907
612 447 605
446 16 143
707 747 28
107 379 682
782 451 510
397 195 439
452 111 225
668 784 781
164 47 602
67 273 588
71 292 896
324 300 860
164 449 801
711 230 246
226 77 929
818 775 16
709 713 132
499 350 483
4 624 590
743 276 394
696 630 165
55 112 315
225 401 971
648 263 255
663 98 32
571 558 291
264 291 756
663 700 69
30 514 35
682 448 248
471 649 482
29 148 405
403 180 36
260 26 61
620 276 402
358 45 506
367 70 755
218 201 262
210 744 42
535 501 723
354 192 918
802 391 763
11 277 393
542 129 290
498 589 853
242 132 483
752 604 813
545 531 309
472 261 138
162 557 986
724 196 805
807 737 661
501 164 510
95 818 868
33 549 818
488 7 659
241 674 421
45 470 164
587 318 421
672 460 501
545 612 505
229 317 547
247 513 283
580 512 38
108 225 589
521 325 74
422 667 557
802 715 672
794 729 546
668 172 812
256 67 204
309 512 363
747 45 439
626 559 190
31 814 952
431 801 538
537 84 402
440 462 676
478 570 400
116 354 704
373 773 733
538 233 900
263 252 278
634 587 142
217 521 901
245 231 286
647 774 914
406 810 416
728 92 827
77 782 492
463 61 324
92 476 174
170 292 183
518 802 522
694 570 53
244 327 1
38 578 678
796 703 594
689 572 721
221 548 356
361 323 147
158 802 151
809 336 63
640 808 148
113 215 954
788 94 157
583 629 669
324 541 915
714 38 819
325 507 499
683 131 89
122 472 996
673 201 241
468 683 346
281 819 652
213 649 515
736 98 643
614 162 689
497 74 141
384 388 223
322 824 952
430 365 822
724 343 240
758 819 394
749 112 590
454 344 111
350 711 145
572 34 273
205 219 135
11 152 30
160 293 179
206 417 468
282 686 97
428 815 934
439 404 6
152 533 293
48 530 662
604 82 53
623 377 959
197 736 461
247 555 165
208 409 371
127 321 50
637 709 619
700 573 777
264 743 273
370 435 471
172 118 603
373 403 371
411 733 92
69 416 189
385 124 134
467 26 367
500 156 820
598 481 379
647 513 885
474 428 674
775 620 442
715 694 574
656 799 330
83 81 487
791 303 576
611 708 534
548 527 580
588 627 813
674 610 916
134 84 703
790 544 414
