968 2405
579 259 569
798 120 165
340 563 32
431 802 948
836 790 161
459 1 644
49 55 618
914 465 929
507 938 777
750 46 40
679 791 371
240 658 289
81 511 902
729 141 401
680 291 979
720 715 358
855 934 225
869 925 419
822 288 793
912 574 514
294 833 388
909 871 613
852 671 496
613 748 283
927 204 728
48 129 58
490 541 33
650 942 225
89 781 105
355 538 529
730 338 538
7 120 51
810 132 27
946 444 569
798 162 860
825 377 91
204 721 949
185 622 331
807 318 174
507 799 246
940 71 978
887 454 113
463 72 233
363 754 211
41 852 438
306 426 276
685 645 117
56 937 232
933 412 303
103 352 54
192 906 753
323 721 42
591 634 978
518 521 131
191 9 612
309 183 285
591 396 767
153 348 850
728 635 809
300 412 217
333 909 937
701 77 533
956 358 892
554 359 115
476 524 101
336 414 780
956 225 620
873 185 542
751 76 756
930 244 773
11 68 874
40 613 59
21 285 45
362 465 627
717 354 511
256 714 873
402 545 748
691 936 481
833 808 661
83 658 307
654 847 291
491 262 702
540 793 64
825 60 981
188 164 428
232 146 951
191 280 356
476 521 198
578 270 328
819 313 235
450 661 806
577 451 902
580 133 891
813 929 488
260 344 432
92 532 922
108 727 81
907 230 471
827 82 973
626 773 596
222 241 616
885 878 942
206 119 859
355 116 994
304 180 694
201 907 551
829 64 73
16 785 188
192 414 569
257 184 767
712 774 721
645 12 353
200 235 744
763 349 864
137 888 288
105 134 460
18 226 264
146 267 708
631 103 823
966 403 382
813 625 117
191 437 77
158 953 35
861 199 28
903 392 187
227 298 521
382 287 230
872 858 902
126 73 156
656 143 349
393 346 792
586 37 332
664 851 232
401 267 135
878 218 8
522 611 604
598 253 466
652 271 265
563 937 69
651 421 775
378 893 315
310 234 679
330 192 929
812 856 506
590 33 504
737 76 887
229 396 69
400 271 668
651 502 697
840 714 709
736 328 272
340 540 688
28 698 576
619 670 558
594 826 412
915 328 446
477 644 113
772 831 36
258 391 809
859 420 875
530 875 53
102 460 516
493 794 32
509 134 762
100 289 349
961 253 162
6 103 683
682 23 844
271 307 815
332 782 441
503 606 717
56 19 932
365 718 541
676 795 455
128 321 262
795 918 610
155 948 484
346 33 336
365 249 208
725 620 893
13 787 174
520 576 453
549 732 503
528 34 973
817 384 899
673 708 660
870 364 369
949 206 813
504 793 10
385 517 899
734 209 350
655 781 596
122 802 834
112 658 974
310 292 545
172 92 892
387 960 769
958 795 160
325 868 649
906 663 470
298 282 326
630 33 120
351 521 533
567 312 254
369 184 835
666 286 298
552 556 911
633 96 969
699 906 887
374 871 196
378 756 231
548 434 599
129 115 896
231 498 75
881 847 800
620 654 283
495 949 270
223 664 330
288 932 576
553 426 377
287 314 656
215 710 270
717 183 629
324 545 699
265 344 900
944 87 648
573 813 225
577 445 734
565 687 389
280 232 480
423 46 7
317 265 410
871 283 723
250 103 288
844 966 785
235 71 997
280 691 692
888 388 270
393 941 506
816 572 79
138 107 290
508 221 210
779 825 900
835 650 986
557 110 670
780 60 698
680 446 263
651 381 283
259 577 754
748 951 126
602 319 506
670 716 675
955 967 974
742 119 659
320 888 962
74 936 57
217 746 26
458 314 636
475 95 841
782 753 984
880 29 956
313 346 695
599 350 518
566 427 203
738 819 517
767 828 695
84 151 516
703 748 3
440 825 204
267 410 617
439 908 57
17 789 302
201 206 212
507 120 93
94 78 449
147 777 999
271 736 397
761 786 780
776 340 667
255 266 10
575 576 470
549 311 472
743 265 301
6 501 603
561 569 130
146 706 798
630 898 222
60 637 928
220 441 554
712 723 536
689 896 395
283 785 1000
54 592 514
741 904 891
853 274 898
531 450 657
465 421 803
424 704 538
571 606 282
226 296 836
964 816 88
605 894 304
549 740 808
958 647 324
893 752 633
345 53 523
615 360 792
813 685 73
818 907 526
862 400 848
324 967 954
876 310 534
82 94 383
380 123 823
254 603 560
618 546 312
666 679 121
10 873 857
937 766 914
452 258 512
42 196 491
352 670 312
919 172 868
263 501 917
47 226 204
847 32 779
314 98 131
279 15 3
37 354 36
550 551 258
29 238 748
153 7 338
701 533 782
490 692 335
967 474 771
830 594 131
816 463 678
695 743 554
573 108 537
441 212 192
44 118 969
808 889 948
690 928 828
139 175 602
80 236 437
832 653 601
559 518 500
97 269 55
675 691 8
45 574 512
325 706 702
859 833 601
731 110 970
53 167 357
480 128 120
888 38 976
796 815 474
404 523 449
282 704 113
261 210 712
568 955 352
851 530 794
909 503 931
272 545 970
33 321 565
14 631 967
148 612 783
618 928 480
564 322 905
760 410 623
703 817 561
46 649 952
78 333 526
329 593 333
171 145 820
783 872 835
302 818 59
498 837 561
497 865 309
505 129 48
760 933 964
913 449 692
882 64 820
827 291 725
812 198 906
311 789 487
895 311 81
63 524 98
550 124 922
727 898 707
310 246 786
845 781 337
397 809 514
880 631 674
906 940 805
913 929 728
150 361 420
201 496 348
171 224 883
531 383 944
35 761 602
443 237 143
495 441 24
185 520 610
803 617 968
940 765 324
216 138 967
546 55 267
721 776 15
434 112 330
90 273 122
87 507 462
115 447 820
746 149 469
774 328 77
297 772 81
89 304 140
965 956 571
460 636 228
843 436 654
234 744 484
934 420 106
613 899 326
398 347 731
758 421 419
934 326 415
310 560 939
842 18 931
578 612 135
203 587 429
532 810 798
346 684 552
328 237 538
439 90 747
806 603 916
364 375 769
225 363 614
551 723 266
856 794 711
587 534 898
689 377 489
843 126 936
694 103 585
733 69 245
381 223 562
321 859 790
75 410 981
658 626 553
387 151 590
643 4 258
574 44 810
844 661 137
43 49 428
225 765 215
905 98 640
458 580 189
521 8 89
145 256 567
178 523 80
107 74 55
628 692 476
101 592 286
806 383 747
901 268 448
51 95 675
11 617 570
495 830 69
358 25 492
43 929 875
603 64 455
961 201 650
13 436 346
387 716 255
968 929 436
340 968 984
321 823 401
729 364 30
685 415 787
407 735 516
528 200 620
293 77 751
140 344 92
292 160 439
745 2 547
308 864 461
752 902 759
630 414 466
918 184 396
220 410 100
638 653 822
821 948 31
403 393 213
160 493 461
558 236 858
53 446 916
783 272 670
37 711 974
627 538 892
269 841 776
328 863 954
879 777 704
559 504 198
508 242 269
584 78 999
403 794 466
933 292 558
690 69 152
48 726 10
436 476 294
464 56 576
566 263 289
822 167 648
333 835 539
19 602 461
462 503 529
722 259 813
384 280 453
608 338 429
502 3 273
588 629 573
865 392 245
809 738 353
959 233 115
827 645 509
821 523 390
253 785 134
378 333 925
452 706 500
607 625 1
476 516 471
403 352 167
284 954 75
788 113 727
387 35 92
283 795 856
19 518 241
787 454 616
211 77 974
565 191 932
364 283 256
633 499 991
252 935 382
411 578 346
744 284 811
723 789 870
920 160 165
100 527 875
737 927 549
717 885 775
395 46 837
538 36 907
879 32 133
341 40 723
166 967 774
357 516 236
878 772 272
838 470 679
433 662 105
777 582 982
602 709 402
502 702 229
357 893 123
771 889 347
713 569 79
734 220 825
499 193 555
361 640 122
224 9 101
566 286 126
448 219 417
962 774 296
366 348 800
48 657 824
807 462 378
432 410 311
534 432 673
119 245 204
1 56 778
354 933 229
623 873 894
499 312 245
325 957 291
3 963 809
614 898 218
687 779 161
839 844 152
885 445 550
912 349 150
138 93 746
411 364 11
199 653 101
592 675 28
840 362 807
706 165 550
767 815 579
692 460 662
380 891 182
75 938 540
1 943 442
165 501 39
568 6 632
177 206 842
798 16 169
790 287 203
589 873 24
221 350 116
201 306 667
816 329 711
560 425 478
347 305 814
223 936 674
116 132 394
35 267 597
854 778 636
700 582 243
534 588 52
57 203 465
386 422 778
497 15 360
375 800 261
11 409 543
812 869 495
430 611 764
841 554 498
446 421 217
144 872 497
176 731 42
614 278 189
526 355 535
799 444 262
924 522 822
479 525 317
475 802 594
623 793 609
805 145 877
611 579 526
796 927 4
208 297 715
696 543 572
796 408 787
548 519 974
230 140 364
729 350 893
882 646 207
567 387 473
420 397 787
467 477 441
233 504 724
105 433 603
98 349 506
559 490 234
848 813 422
234 782 235
12 408 251
512 788 989
745 176 191
967 403 57
650 893 513
318 157 798
4 356 666
105 537 403
503 522 180
707 687 578
25 82 989
241 252 125
488 407 849
542 754 625
217 190 150
871 738 693
647 636 807
66 211 63
591 476 16
867 902 905
679 182 590
357 730 120
871 729 477
740 540 146
170 807 481
744 503 983
354 544 342
192 361 914
116 816 708
923 852 19
730 846 602
365 93 469
324 892 441
170 758 275
863 476 235
737 138 836
353 362 82
741 340 62
935 241 964
886 7 693
133 511 822
931 31 805
393 65 78
814 906 828
618 522 866
132 581 996
409 287 98
620 884 448
395 753 806
909 590 170
19 420 597
478 636 197
857 17 533
926 123 179
351 898 307
451 785 853
253 366 833
946 65 198
325 602 291
151 793 885
938 407 221
953 130 465
549 702 800
303 869 475
713 736 608
170 873 944
588 287 785
435 102 711
232 751 3
490 214 184
225 267 476
456 826 534
415 93 290
568 346 715
71 368 347
343 545 901
268 936 943
832 892 704
115 469 807
568 628 120
30 334 11
664 60 197
10 428 373
42 525 690
357 859 847
303 767 139
391 130 759
557 922 868
96 838 241
295 770 231
470 899 796
59 763 212
353 827 307
765 461 705
163 701 758
517 652 920
819 182 186
340 714 78
566 571 815
380 794 46
690 54 525
700 200 930
135 384 97
963 923 112
125 638 933
876 470 69
250 23 467
864 524 409
221 528 488
914 414 583
302 831 824
135 177 729
127 371 466
33 190 392
920 769 56
236 314 209
444 282 172
195 472 324
414 941 189
833 625 355
829 33 379
909 882 969
934 728 189
850 876 418
344 842 753
667 569 128
965 200 99
881 165 456
508 610 129
470 410 876
318 87 254
369 205 376
672 70 22
779 677 716
549 668 580
963 754 7
647 367 834
805 360 774
129 146 480
356 100 640
388 885 390
699 513 211
613 540 232
777 186 667
161 663 618
731 415 874
740 520 745
366 928 257
966 637 945
821 368 888
833 408 545
672 581 141
480 284 231
392 267 913
685 853 343
817 857 546
299 12 846
731 951 278
436 853 41
780 855 90
175 795 186
10 928 619
453 130 544
92 541 156
728 467 572
675 164 779
207 891 843
710 933 151
112 608 568
761 937 148
619 366 561
535 181 557
252 140 174
566 295 855
511 164 637
721 251 91
146 20 480
91 703 763
405 155 103
710 9 129
58 485 36
532 410 329
659 796 446
444 43 481
490 958 408
89 270 729
964 960 381
236 47 813
247 401 630
83 795 811
283 603 977
876 302 788
934 661 848
951 802 783
177 718 843
88 846 43
817 123 104
290 620 437
437 272 724
805 497 834
253 818 898
304 526 815
474 19 764
750 587 15
336 486 965
612 56 571
554 28 430
587 150 411
184 878 812
94 16 187
585 361 579
694 114 229
186 952 330
501 22 387
964 532 231
22 418 456
930 275 993
640 421 248
265 736 464
178 695 943
811 803 468
900 368 583
44 146 452
706 379 520
264 750 522
642 29 545
292 13 590
939 618 257
696 81 910
178 3 870
320 557 812
218 521 469
685 581 496
761 866 659
138 825 438
776 239 49
333 600 422
178 794 776
26 356 205
280 638 748
582 540 21
742 850 842
913 278 887
746 668 832
385 246 43
345 750 400
478 870 732
363 48 92
745 398 268
346 794 892
135 594 251
38 162 950
419 222 437
333 531 650
100 468 519
201 659 857
348 805 821
936 836 998
653 384 818
186 932 603
849 716 978
830 871 323
258 153 979
865 349 550
28 940 2
309 846 145
485 52 225
318 724 269
499 139 525
192 449 531
253 823 997
934 383 682
906 925 32
165 640 25
910 195 569
374 347 503
640 857 147
6 271 651
24 882 917
332 55 241
928 956 601
136 370 630
221 56 541
277 269 153
663 342 957
511 707 772
928 439 86
187 955 760
481 541 304
698 490 801
764 834 245
752 140 60
388 730 742
635 630 676
279 2 966
628 128 481
787 52 820
381 241 554
926 888 844
193 555 596
578 122 503
30 540 823
761 925 524
907 399 142
967 218 112
280 482 236
298 511 563
330 920 95
633 697 526
867 425 619
429 793 195
16 600 20
255 664 277
781 167 528
348 822 341
213 549 265
327 55 946
419 149 618
98 339 995
764 121 721
699 6 591
194 768 80
820 394 79
783 576 788
424 34 431
437 751 619
569 506 187
378 363 627
603 769 521
40 937 747
473 97 11
301 174 561
88 802 354
658 221 927
29 629 416
459 423 396
884 433 319
209 3 865
484 544 187
953 764 474
52 951 521
357 803 317
601 709 473
340 793 918
682 508 271
479 871 421
900 563 831
595 212 778
5 174 944
529 828 701
535 821 950
558 443 160
455 155 85
177 15 482
607 721 600
676 123 636
950 230 951
229 932 947
836 571 310
925 855 817
340 37 244
469 408 981
251 751 647
754 893 667
146 68 519
608 909 849
494 576 219
313 922 809
383 345 318
850 902 862
288 945 914
406 125 151
510 252 386
454 505 489
62 264 91
641 607 237
36 608 748
372 611 48
825 109 909
504 366 506
299 716 273
93 547 609
426 763 218
497 142 607
451 202 632
877 681 160
838 612 753
846 584 415
279 296 873
354 310 101
298 539 472
615 705 462
408 45 879
183 139 607
226 28 462
276 242 952
43 176 620
199 777 214
954 311 34
672 592 254
794 650 174
82 305 143
421 619 646
157 343 998
126 580 557
967 101 780
827 801 315
100 307 297
45 356 696
575 958 157
824 225 725
293 126 132
235 822 557
966 765 727
3 838 64
651 479 519
546 135 685
680 234 874
801 218 964
156 109 533
150 627 571
627 300 868
82 865 833
759 396 887
45 662 742
302 645 108
267 474 420
766 954 36
857 925 189
6 177 638
869 786 314
449 79 694
631 689 298
964 471 361
441 341 444
502 843 215
711 915 867
794 99 33
920 819 142
454 573 71
572 893 264
588 883 236
801 829 869
558 131 405
702 326 722
277 573 980
752 485 142
758 914 426
128 727 522
305 930 403
913 897 635
856 883 999
518 382 654
938 185 903
908 777 404
66 404 275
911 559 913
678 237 208
939 953 93
369 272 45
473 907 715
445 301 699
680 485 139
889 808 686
536 78 575
388 403 589
931 541 883
534 880 935
928 897 474
551 22 233
818 410 981
361 279 710
475 189 627
343 410 458
204 267 779
881 371 268
17 351 233
646 968 235
334 760 401
600 640 242
689 448 158
517 44 488
759 213 446
452 741 863
590 927 719
618 746 244
591 872 988
796 34 426
868 798 407
788 126 358
425 321 643
377 529 689
727 792 533
539 624 488
359 188 54
330 514 981
860 431 780
509 934 365
905 700 644
908 22 8
407 154 203
101 360 423
76 805 212
737 720 311
603 779 449
517 698 396
94 273 716
399 11 798
682 434 219
750 218 828
839 111 435
139 125 605
412 910 741
454 307 139
275 22 137
320 59 470
793 918 509
793 193 800
437 234 760
753 269 854
937 909 134
695 172 338
305 716 598
28 42 146
198 111 72
905 665 360
362 391 72
558 262 439
85 199 91
669 117 166
853 310 884
247 313 100
425 302 339
923 315 894
233 462 193
198 625 80
808 529 942
18 140 387
960 395 491
331 94 305
437 32 154
478 94 440
247 710 230
112 134 71
52 98 717
839 399 455
828 944 681
367 460 206
102 929 739
124 327 315
966 876 623
39 946 128
802 938 427
814 147 779
238 837 916
213 445 238
627 323 367
815 744 880
834 483 986
821 580 218
23 234 763
86 120 773
70 718 554
641 109 149
110 19 289
777 277 781
76 577 707
164 663 134
410 577 605
509 362 772
927 874 393
378 77 260
695 604 885
222 83 111
415 190 332
838 373 471
948 940 722
27 401 443
957 136 549
830 480 729
759 862 324
453 952 160
713 445 822
397 747 384
669 533 831
285 260 346
134 783 161
693 326 897
385 560 946
117 234 366
568 888 830
940 65 92
122 88 348
145 187 455
941 499 64
906 102 621
156 287 555
758 959 708
265 426 77
236 887 784
303 698 915
262 176 845
385 224 879
275 793 409
933 227 655
399 123 942
209 485 828
332 142 862
652 776 941
920 387 759
165 809 743
429 655 446
912 478 602
902 44 263
271 668 417
961 632 678
173 258 104
864 429 392
111 511 483
226 851 248
286 162 877
728 8 994
3 934 325
30 16 871
113 862 345
788 954 826
82 468 855
474 99 492
871 573 612
432 221 274
216 683 911
224 766 183
293 132 395
247 187 805
660 475 637
852 449 862
153 818 687
572 187 548
375 869 366
323 59 681
356 678 884
563 595 461
468 591 857
174 391 363
453 262 790
745 533 647
139 954 82
843 776 787
712 872 681
26 854 295
740 899 292
393 559 827
466 940 52
822 906 131
746 834 717
159 865 427
250 380 633
750 61 522
852 664 828
859 241 194
697 924 225
453 940 339
768 439 878
959 337 929
629 388 759
893 470 155
68 589 66
599 902 213
465 589 323
727 930 163
383 381 444
687 115 73
951 535 840
62 752 490
5 202 209
82 463 468
951 880 455
304 914 864
620 263 397
98 150 427
952 866 195
401 74 855
289 11 193
66 667 476
894 555 316
215 523 919
14 747 33
578 431 224
861 169 352
338 150 756
17 737 19
146 613 706
198 50 673
290 204 988
173 129 566
282 151 590
540 637 764
151 478 156
645 516 854
778 894 398
539 699 497
966 275 233
294 112 642
363 214 368
825 661 928
592 657 356
73 464 449
948 218 720
620 626 361
185 142 667
602 491 703
136 55 839
361 25 6
966 236 973
878 905 567
348 111 956
887 165 786
158 160 185
430 332 246
468 320 660
563 349 117
870 894 713
89 97 362
519 40 228
954 57 143
233 423 172
747 272 770
660 601 58
366 203 920
535 521 79
344 131 426
860 129 935
411 535 683
318 412 649
400 825 447
944 637 430
238 935 722
362 250 152
638 514 635
531 528 823
893 564 786
231 195 875
380 409 272
279 544 76
83 6 328
527 502 91
261 517 663
283 51 865
382 273 41
138 428 123
889 593 389
484 250 225
850 198 973
353 367 210
423 332 422
903 329 55
884 423 528
627 715 102
296 625 139
243 310 468
634 563 645
173 222 704
98 127 464
823 793 239
164 309 111
514 78 239
26 474 714
826 381 94
914 248 615
283 401 480
967 8 410
649 198 433
634 937 114
728 771 881
206 952 991
435 29 619
538 609 310
852 656 194
218 185 374
79 718 408
308 943 911
552 495 290
553 728 114
557 646 332
541 795 504
651 927 272
624 427 534
322 747 353
366 428 415
273 771 727
297 533 362
667 906 928
5 901 402
837 357 886
546 655 652
264 819 586
554 367 79
478 311 677
380 490 643
827 141 442
794 192 597
746 442 817
771 88 864
190 491 854
968 131 142
90 30 150
737 923 919
483 174 785
519 900 145
817 965 547
420 615 446
779 632 840
667 585 800
715 170 142
497 921 576
752 518 370
692 322 3
524 328 24
365 528 446
436 355 561
359 27 774
754 311 314
960 369 199
570 749 160
760 882 730
349 438 929
71 561 652
122 454 339
595 333 849
666 667 781
877 95 169
834 12 197
302 217 532
472 80 448
496 249 907
887 967 665
904 908 407
461 780 968
38 418 634
84 646 634
876 121 198
420 788 559
655 590 289
719 850 122
569 452 253
114 903 952
637 773 294
704 859 178
918 113 959
523 683 8
732 444 794
123 817 306
787 776 172
264 922 716
565 232 786
189 478 447
501 604 643
305 325 369
292 151 404
769 142 857
226 665 76
536 438 36
703 380 755
776 954 256
17 469 178
458 250 792
528 502 277
111 894 423
330 803 480
783 12 374
890 38 160
349 834 471
400 849 450
199 634 615
499 842 343
879 659 769
344 474 273
450 785 321
222 640 828
152 204 16
821 866 662
143 449 621
418 271 211
380 803 164
297 547 100
793 427 798
739 102 977
323 113 513
422 745 396
635 593 573
811 214 554
386 283 399
86 438 681
194 598 190
743 766 236
566 776 362
613 130 644
81 834 127
500 522 476
962 139 629
51 538 76
667 170 345
899 163 760
857 5 114
646 906 709
681 278 569
502 618 331
555 861 868
851 651 764
146 125 532
146 670 609
944 781 61
927 122 985
965 716 756
317 446 140
718 631 471
703 894 279
34 445 555
401 404 400
699 248 452
802 283 584
489 190 29
621 530 211
906 876 687
156 885 53
853 243 275
352 784 402
454 129 925
709 443 744
593 257 616
362 847 367
530 894 593
172 165 413
745 783 148
765 518 146
599 725 603
323 360 403
299 267 700
886 440 115
723 305 33
648 812 766
446 89 203
777 94 639
664 941 24
615 28 203
12 415 384
16 781 225
720 639 990
793 831 521
465 892 166
911 669 740
869 905 28
107 897 529
1 360 822
589 397 922
811 486 334
350 108 586
41 893 344
847 720 280
479 715 816
365 605 933
274 605 761
125 238 434
448 529 734
853 103 354
317 544 677
926 269 953
770 777 563
498 670 787
428 4 998
477 126 79
149 289 979
218 707 351
95 815 918
724 26 385
802 256 715
947 277 622
422 493 916
756 184 179
118 24 885
560 964 346
304 635 177
198 384 97
183 326 908
925 628 145
588 379 982
227 561 124
532 964 229
924 730 779
544 47 974
448 750 627
419 453 65
577 597 335
169 895 24
916 176 907
124 358 463
721 497 331
230 299 681
716 181 406
111 280 496
703 909 422
385 149 354
809 66 472
766 440 786
522 852 171
780 5 793
200 899 16
79 899 821
769 921 549
543 836 514
133 414 340
219 839 789
633 378 965
397 641 634
173 264 264
241 181 184
140 93 896
85 226 19
222 14 922
256 279 291
304 930 204
708 413 676
955 117 152
964 215 573
958 46 141
235 220 371
374 94 277
655 73 447
168 218 444
60 879 961
529 748 882
59 306 289
191 408 734
182 759 811
467 590 875
123 577 635
350 478 36
903 409 997
170 890 246
267 470 183
895 243 208
719 327 768
253 61 875
79 546 631
312 594 537
942 968 118
75 15 763
382 334 18
836 160 693
901 269 548
600 582 753
665 643 93
14 814 754
846 571 8
816 922 222
759 562 325
497 799 362
638 618 535
679 173 673
900 216 897
180 753 315
358 802 220
320 249 197
76 668 284
434 867 148
624 750 174
156 38 576
1 849 718
648 108 734
459 391 919
710 720 893
496 409 336
286 508 728
888 457 695
561 769 191
483 173 127
232 520 204
559 384 644
99 381 229
392 189 560
297 537 986
182 816 312
303 312 673
748 530 335
770 749 385
562 30 9
955 301 361
328 642 745
915 347 630
149 39 185
436 49 92
774 627 465
213 302 56
603 697 977
828 386 165
526 565 589
847 593 282
105 39 751
609 543 185
117 219 756
397 402 81
81 827 605
634 314 890
178 855 581
761 405 753
760 667 691
367 180 337
314 642 492
239 92 708
175 429 141
572 769 884
209 708 273
175 354 114
64 337 114
889 702 290
580 585 334
397 265 196
129 585 990
337 628 693
589 43 737
398 801 12
232 508 791
667 799 474
890 164 828
56 573 172
91 174 513
172 783 519
331 179 472
820 122 587
259 752 412
953 176 212
307 174 130
538 176 719
802 393 907
265 558 149
771 283 629
159 638 889
400 405 461
355 90 274
899 509 854
688 16 538
296 607 681
235 342 80
897 264 787
869 690 411
622 562 697
740 264 414
205 278 724
322 277 251
891 870 22
119 920 347
640 419 606
609 956 372
547 326 584
758 950 923
344 615 297
565 202 912
118 343 349
849 959 663
758 617 681
202 910 2
584 267 786
818 133 894
18 449 126
78 318 935
403 875 899
574 193 610
821 778 249
279 939 73
502 462 256
591 131 244
254 284 342
820 51 644
578 666 371
558 226 680
113 794 709
696 861 83
857 571 77
716 543 216
292 797 513
635 590 774
402 427 904
530 927 234
790 99 507
313 888 220
137 611 587
874 506 643
462 744 447
903 936 236
278 9 198
270 745 497
485 90 357
671 721 148
274 143 527
29 154 497
7 682 567
937 419 951
841 569 454
244 268 733
725 99 637
340 441 543
745 888 629
544 338 761
591 512 723
250 870 90
106 233 322
703 116 234
647 403 802
926 442 385
214 676 208
374 857 907
777 275 815
441 10 196
332 741 66
906 541 17
530 915 890
752 254 101
509 758 260
747 800 235
389 596 323
451 218 809
749 496 328
676 2 734
151 789 238
540 622 854
220 703 126
436 314 76
748 736 417
872 799 767
205 456 77
16 118 702
854 476 57
381 487 844
564 646 863
684 782 260
248 697 649
253 654 104
251 679 63
56 221 459
414 731 532
505 133 524
98 895 767
124 286 631
538 426 576
306 881 105
783 395 110
927 789 869
797 826 412
402 786 47
158 451 930
754 421 883
303 682 139
2 266 663
799 946 589
623 778 297
942 531 846
678 945 102
883 846 927
603 724 298
582 490 724
37 144 200
561 780 756
63 111 9
799 823 230
49 404 162
359 504 940
768 895 571
240 669 792
436 336 768
362 468 331
41 304 259
645 647 887
760 107 759
112 537 282
243 410 138
823 611 330
15 761 714
640 604 616
159 26 611
842 950 443
249 53 935
448 742 40
430 472 10
547 429 404
518 64 821
17 16 199
846 545 848
965 659 223
19 305 773
836 189 496
736 93 59
552 868 21
93 364 998
278 502 746
385 924 233
361 232 719
284 60 490
453 609 916
82 110 475
727 157 54
75 486 704
745 809 346
648 883 861
903 933 794
472 40 771
450 291 94
672 66 954
363 246 758
801 701 72
224 580 707
456 716 960
451 40 14
683 176 872
263 480 594
153 232 399
38 266 14
576 259 549
359 111 691
624 518 612
274 50 428
786 70 681
429 824 819
554 661 385
678 153 948
825 265 498
746 10 337
839 538 102
660 841 80
642 35 646
215 229 70
110 44 16
444 512 332
653 473 614
473 460 95
711 458 745
102 521 150
299 359 513
829 281 235
888 201 310
270 769 760
377 479 938
963 950 399
23 841 739
494 375 451
385 570 510
127 691 790
63 858 694
841 46 616
696 824 341
304 824 873
556 475 939
344 343 836
27 370 243
533 662 30
855 37 699
341 862 433
143 295 320
92 484 63
758 742 223
381 886 959
691 509 389
738 84 99
534 243 327
781 261 605
500 585 898
294 434 546
263 75 777
17 226 210
299 623 609
40 944 276
906 839 658
866 352 526
278 815 149
26 628 234
118 943 914
258 431 653
796 378 113
759 179 335
854 37 736
71 376 121
712 3 770
368 392 986
910 683 235
617 751 609
464 741 99
515 233 274
309 499 618
935 463 812
97 489 789
18 150 460
616 30 893
701 225 782
676 490 230
847 110 568
724 369 498
443 703 574
887 798 949
846 467 614
876 384 356
482 72 236
481 698 368
12 809 139
384 105 275
175 443 171
128 794 681
231 564 53
247 62 729
38 422 590
284 200 463
592 891 980
397 462 413
460 480 864
410 267 734
474 833 789
825 38 508
759 584 610
908 235 47
416 376 496
648 945 790
60 237 525
681 383 783
301 68 552
963 360 631
896 143 946
939 56 523
439 735 616
311 265 947
909 519 973
61 874 780
342 245 843
300 742 587
739 717 475
733 13 86
485 724 625
167 762 254
